entry_id,accepted,marferret_name,tax_id,pr2_accession,pr2_rank,pr2_taxonomy,data_type,data_source,source_link,pub_year,ref_link,ref_doi,source_filename,seq_type,n_seqs_raw,source_name,original_taxID,alias
1,Y,Thalassiosira_minima,340022,FR865522.2.1779_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira_minima,TSA,Zenodo,https://zenodo.org/record/4591037,2021,https://doi.org/10.5281/zenodo.4591037,https://doi.org/10.5281/zenodo.4591037,mini_Thalassiosiraminima.fasta,nt,51331,Thalassiosira minima,NA,NA
2,Y,Stramenopiles_sp_TOSAG41-2,1735746,HQ866589.1.901_U,genus,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3A,SAG,TARA,http://www.genoscope.cns.fr/tara/,2018,https://pubmed.ncbi.nlm.nih.gov/29358710/,https://doi.org/10.1038/s41467-017-02235-3,mini_TOSAG41-2.fasta,aa,3289,Stramenopiles sp. TOSAG41-2,NA,Stramenopiles sp. TOSAG41-2
3,Y,Tursiops_truncatus,9739,ABRN01029658.56.1475_U,species,Eukaryota;Obazoa;Opisthokonta;Metazoa;Craniata;Craniata_X;Craniata_XX;Craniata_XXX;Craniata_XXX_sp.,genome,NCBI,https://www.ncbi.nlm.nih.gov/data-hub/assembly/GCF_011762595.1/,2020,https://pubmed.ncbi.nlm.nih.gov/34850941/,https://doi.org/10.1093/nar/gky989,mini_Tursiops.fasta,aa,55739,Tursiops truncatus,9739,NA
4,Y,Phaeocystis_sp_CCMP2710,1411682,KF422610.1.1695_U,strain,Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis_sp.,TSA,MMETSP,https://zenodo.org/record/3247846,2014,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048,mini_Phaeocystis_CCMP2710.fasta,aa,36064,Phaeocystis Sp CCMP2710,33656,MMETSP1162
5,Y,Pelagomonas_calceolata,35677,EF455763.8.1872_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas_calceolata,TSA,MMETSP,https://zenodo.org/record/3247846,2014,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048,mini_Pelagomonas_calceolata1.fasta,aa,27554,Pelagomonas calceolata  Strain CCMP1756,35677,MMETSP0887
6,Y,Pelagomonas_calceolata,35677,EF455763.8.1872_U,species,Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonas;Pelagomonas_calceolata,TSA,MMETSP,https://zenodo.org/record/3247846,2014,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048,mini_Pelagomonas_calceolata2.fasta,aa,31222,Pelagomonas calceolata  Strain CCMP1756,35677,MMETSP0888
7,N,Goniomonas_pacifica,195067,AF508277.1.1721_U,species,Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Goniomonadales;Goniomonadales_X;Goniomonas;Goniomonas_pacifica,TSA,MMETSP,https://zenodo.org/record/3247846,2014,https://pubmed.ncbi.nlm.nih.gov/30544207/,https://doi.org/10.5281/zenodo.746048,mini_Goniomonas_pacifica.fasta,aa,71940,Goniomonas pacifica Strain CCMP1869,195067,MMETSP0108
